id,sku,marca,descripcion,variantes,costo,categoria,imagen
293,PROD-0015,Mae,MAE CONTAC 45CMX20M PVC-4520,NULL,$351.33,Contac,/Imagenes_Catalogo/Mae/Contac/A0601.webp
294,PROD-0016,Mae,MAE CORRECTOR CINTA RETRACTIL COC-56,NULL,$59.52,Escritura,/Imagenes_Catalogo/Mae/Correctores/A0701.webp
295,PROD-0017,Mae,MAE CRAYON ESCOLAR TRIANGULAR C/12,NULL,$20.46,Arte,/Imagenes_Catalogo/Mae/Crayones/A0801.webp
296,PROD-0018,Mae,MAE CRAYON JUMBO ESCOLAR TRIANGULAR C/12,NULL,$35.34,Arte,/Imagenes_Catalogo/Mae/Crayones/A0802.webp
297,PROD-0019,Mae,MAE CRAYON ESCOLAR TRIANGULAR C/24,NULL,$35.34,Arte,/Imagenes_Catalogo/Mae/Crayones/A0803.webp
298,PROD-0020,Mae,MAE CRAYON JUMBO ESCOLAR TRIANGULAR C/24,NULL,$68.82,Arte,/Imagenes_Catalogo/Mae/Crayones/A0804.webp
299,PROD-0021,Mae,MAE JUEGO GEOMETRIA FLEXIBLE JGF,NULL,$106.02,Geometria,/Imagenes_Catalogo/Mae/J Geometria/A0901.webp
300,PROD-0022,Mae,MAE REGLA FLEXIBLE DE 30CM RF-30,NULL,$18.60,Geometria,/Imagenes_Catalogo/Mae/J Geometria/A0902.webp
301,PROD-0023,Mae,MAE LAPIZ DUO CARMIN Y GRAFITO C/10 DT-10,NULL,$87.42,Escritura,/Imagenes_Catalogo/Mae/Lapices/A1001.webp
302,PROD-0024,Mae,MAE COLORES TRIANGULARES 12X24 CM-12B,NULL,$104.16,Arte,/Imagenes_Catalogo/Mae/Lapices/A1002.webp
303,PROD-0025,Mae,MAE COLORES LARGOS JUMBO C/12 CMJ-12T,NULL,$163.68,Arte,/Imagenes_Catalogo/Mae/Lapices/A1003.webp
304,PROD-0026,Mae,MAE COLORES LARGOS TRIANGULARES C/12 CMT-12L,NULL,$92.07,Arte,/Imagenes_Catalogo/Mae/Lapices/A1004.webp
305,PROD-0027,Mae,MAE COLORES PREMIUM C/12,NULL,$104.16,Arte,/Imagenes_Catalogo/Mae/Lapices/A1005.webp
306,PROD-0028,Mae,MAE COLORES TRIANGULARES 18X36 CM-18B,NULL,$156.24,Arte,/Imagenes_Catalogo/Mae/Lapices/A1006.webp
307,PROD-0029,Mae,MAE COLORES LARGOS REDONDOS C/24 CM-24L,NULL,$159.96,Arte,/Imagenes_Catalogo/Mae/Lapices/A1007.webp
308,PROD-0030,Mae,MAE COLORES LARGOS TRIANGULARES C/24 CMT-24L,NULL,$184.14,Arte,/Imagenes_Catalogo/Mae/Lapices/A1008.webp
309,PROD-0031,Mae,MAE LAPIZ NO 2 LM-12,NULL,$5.58,Escritura,/Imagenes_Catalogo/Mae/Lapices/A1009.webp
310,PROD-0032,Mae,MAE COLORES CORTOS C/12 CM-12C,NULL,$45.57,Arte,/Imagenes_Catalogo/Mae/Lapices/A1010.webp
